STATE_UT,DISTRICT,YEAR,MURDER,RAPE,CHILD DESERTION,UNNATURAL OFFENCE,DEFILEMENT,TOTAL_IPC_CRIMES
ARUSHA,TOTAL,2018,62,0,0,0,0,62
DAR-ES-SALAAM,TOTAL,2018,115,100,0,0,5,220
DODOMA,TOTAL,2018,0,7,0,2,0,9
GEITA,TOTAL,2018,0,0,0,0,0,0
IRINGA,TOTAL,2018,3,0,0,0,1,4
KAGERA,TOTAL,2018,0,0,0,5,1,6
KATAVI,TOTAL,2018,2,0,0,2,0,4
KIGOMA,TOTAL,2018,1,1,0,3,0,5
KILIMANJARO,TOTAL,2018,1,11,0,3,0,15
LINDI,TOTAL,2018,0,7,0,0,0,7
MANYARA,TOTAL,2018,0,0,1,1,0,2
MARA,TOTAL,2018,0,0,0,7,0,7
MBEYA,TOTAL,2018,0,7,0,0,0,7
MOROGORO,TOTAL,2018,0,55,0,2,0,57
MTWARA,TOTAL,2018,0,9,0,0,0,9
MWANZA,TOTAL,2018,0,16,0,5,0,21
NJOMBE,TOTAL,2018,0,1,0,1,0,2
PWANI,TOTAL,2018,3,35,0,6,0,44
RUKWA,TOTAL,2018,0,2,0,22,0,24
RUVUMA,TOTAL,2018,0,10,0,0,4,14
SHINYANGA,TOTAL,2018,3,12,0,2,1,18
SIMIYU,TOTAL,2018,0,0,1,4,0,5
SINGIDA,TOTAL,2018,0,0,0,1,0,1
SONGWE,TOTAL,2018,0,0,0,0,1,1
TABORA,TOTAL,2018,0,0,0,0,0,0
TANGA,TOTAL,2018,0,61,0,1,1,63
